,Real daily return,Volatility,Sharpe Ratio
1999-03-22 00:00:00-05:00,-0.018825977610570505,0.2706507019916023,-0.06955820720965518
1999-03-23 00:00:00-05:00,-0.02233019212690278,0.2740478700415699,-0.08148281584350774
1999-03-24 00:00:00-05:00,-0.023923212211252834,0.3073236982299482,-0.07784369493482021
1999-03-25 00:00:00-05:00,0.04269482098261743,0.30804471116979687,0.13859942870138642
1999-03-26 00:00:00-05:00,0.006373689364347231,0.3619596304583658,0.017608840401002565
1999-03-29 00:00:00-05:00,0.049610432160218106,0.3432198574505409,0.1445441779759702
1999-03-30 00:00:00-05:00,0.0021547473178107103,0.3867785167845954,0.005571010861005839
1999-03-31 00:00:00-05:00,-0.016990009654960152,0.34856584393803103,-0.04874261190657763
1999-04-01 00:00:00-05:00,-0.03014713637842137,0.38218823799022944,-0.07888033534719108
1999-04-05 00:00:00-04:00,0.050996933321092563,0.41091926135095663,0.12410450937109337
1999-04-06 00:00:00-04:00,0.024938721539309344,0.40972238618995954,0.060867363805079004
1999-04-07 00:00:00-04:00,-0.02870660518125926,0.4265109417159467,-0.06730567114120523
1999-04-08 00:00:00-04:00,-0.00436066243084789,0.3726060685810316,-0.011703143879149046
1999-04-09 00:00:00-04:00,0.031887214295915914,0.35106212730564684,0.09083068726508856
1999-04-12 00:00:00-04:00,0.008882697100910244,0.3560011045488346,0.024951318935280877
1999-04-13 00:00:00-04:00,-0.001063619076253611,0.2984292980688983,-0.003564057159052975
1999-04-14 00:00:00-04:00,-0.01853999765560903,0.28261697587216633,-0.06560114656380396
1999-04-15 00:00:00-04:00,0.036267160877077195,0.28561799290650447,0.12697785776034445
1999-04-16 00:00:00-04:00,0.027107629168543174,0.27735765405182833,0.09773528428920775
1999-04-19 00:00:00-04:00,0.016882731176851996,0.24641980126299423,0.06851207204259416
1999-04-20 00:00:00-04:00,-0.022901067723592343,0.23472401474922266,-0.09756593396742838
1999-04-21 00:00:00-04:00,-0.009989194768502367,0.22112347284618553,-0.045174737172524855
1999-04-22 00:00:00-04:00,-0.0035555292125013585,0.21617767184637343,-0.016447254622244677
1999-04-23 00:00:00-04:00,0.004880179881449216,0.21690645926012972,0.022499006705911675
1999-04-26 00:00:00-04:00,-0.01970085236086995,0.21703545682521452,-0.09077250624876315
1999-04-27 00:00:00-04:00,0.02212923178565187,0.21647713153514078,0.10222433948899413
1999-04-28 00:00:00-04:00,0.02864162784698223,0.2255052483075078,0.12701091465474623
1999-04-29 00:00:00-04:00,0.01146307558945277,0.22682011214611328,0.05053817970986837
1999-04-30 00:00:00-04:00,-0.014897327728614768,0.2303409936108412,-0.0646751040493628
1999-05-03 00:00:00-04:00,0.01970235490078658,0.2503884776827473,0.07868714680134078
1999-05-04 00:00:00-04:00,-0.008333831847075715,0.23448294821402837,-0.03554131296348622
1999-05-05 00:00:00-04:00,-0.004106726904384833,0.22979097665190198,-0.01787157600450906
1999-05-06 00:00:00-04:00,0.013926227747602288,0.21152554709159016,0.06583709598714456
1999-05-07 00:00:00-04:00,0.005204734147467589,0.21544975162855973,0.024157531434246763
1999-05-10 00:00:00-04:00,-0.011973432567362049,0.21709304945520455,-0.0551534588390066
1999-05-11 00:00:00-04:00,0.01046315516423767,0.2163638151707069,0.04835908054210655
1999-05-12 00:00:00-04:00,-0.02360094337516165,0.2237700454456335,-0.10546962766245523
1999-05-13 00:00:00-04:00,-0.012048752354163226,0.210659580822165,-0.057195368504670885
1999-05-14 00:00:00-04:00,-0.008453261551167945,0.2190592054118,-0.03858893551301358
1999-05-17 00:00:00-04:00,-0.010650663283379986,0.23591505149347147,-0.04514617959284689
1999-05-18 00:00:00-04:00,-0.02252526279609609,0.2414394378210517,-0.09329570595169791
1999-05-19 00:00:00-04:00,0.008192049251655516,0.2565094043396177,0.031936642918593605
1999-05-20 00:00:00-04:00,-0.0031461493110259207,0.243656582978096,-0.012912227827264368
1999-05-21 00:00:00-04:00,-0.0019714840931475096,0.21333462360838865,-0.009241275793874407
1999-05-24 00:00:00-04:00,-0.021756559875958682,0.24258198852250576,-0.08968744962670713
1999-05-25 00:00:00-04:00,-0.0017197500078755673,0.24828347686746982,-0.0069265584225467625
1999-05-26 00:00:00-04:00,-0.00011704565069514845,0.24117445560980347,-0.00048531528929629596
1999-05-27 00:00:00-04:00,-0.02308247631843017,0.23995741235063117,-0.09619405415449944
1999-05-28 00:00:00-04:00,-0.011320344600733619,0.27904088585009656,-0.04056876671046341
1999-06-01 00:00:00-04:00,-0.008119316417028606,0.2836839832059328,-0.02862098989612186
1999-06-02 00:00:00-04:00,0.02340433926967028,0.2599734773602456,0.09002587305180694
1999-06-03 00:00:00-04:00,-0.0038361756053272673,0.2673508394753843,-0.014348844435479973
1999-06-04 00:00:00-04:00,0.012308464739420759,0.23829866886303422,0.051651420455458924
1999-06-07 00:00:00-04:00,0.007765011972595928,0.23289767885330168,0.033340873171548345
1999-06-08 00:00:00-04:00,-0.012229493271710131,0.24672903048606154,-0.04956649506390782
1999-06-09 00:00:00-04:00,0.012776460944249562,0.26031040717945125,0.04908163712195264
1999-06-10 00:00:00-04:00,0.010370008862250714,0.25369300482597773,0.04087621126709459
1999-06-11 00:00:00-04:00,-0.00813399585139878,0.26040445851521615,-0.031236008391628545
1999-06-14 00:00:00-04:00,0.025985185888971085,0.30092253485666215,0.08635174464866367
1999-06-15 00:00:00-04:00,0.015010032270916813,0.2717954412085544,0.05522547473266594
1999-06-16 00:00:00-04:00,0.007689674639805629,0.26605493746613845,0.028902581974387585
