Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
1998-12-22 00:00:00-05:00,19.116811752319336,14.855000495910645,12.32973861694336,11.555720329284668,17.427839279174805,14.889922142028809,11.928423881530762,24.189760208129883,12.465353012084961
1998-12-23 00:00:00-05:00,19.198909759521484,15.214107513427734,12.586429595947266,11.72611141204834,17.819480895996094,15.14974594116211,12.05370044708252,24.767667770385742,12.413118362426758
1998-12-24 00:00:00-05:00,19.55075454711914,15.187830924987793,12.520188331604004,11.803559303283691,17.928272247314453,15.34961986541748,12.331107139587402,24.673315048217773,12.641660690307617
1998-12-28 00:00:00-05:00,19.37483787536621,15.100245475769043,12.453947067260742,11.648662567138672,17.667190551757812,15.429557800292969,12.223723411560059,24.744083404541016,12.576360702514648
1998-12-29 00:00:00-05:00,19.79703712463379,15.43308162689209,12.578150749206543,11.77258014678955,18.05882453918457,15.649410247802734,12.447432518005371,24.814851760864258,12.785311698913574
1998-12-30 00:00:00-05:00,19.632844924926758,15.336736679077148,12.387701034545898,11.72611141204834,17.906517028808594,15.579463958740234,12.411641120910645,24.72049903869629,12.680832862854004
1998-12-31 00:00:00-05:00,19.60938835144043,15.222867012023926,12.371143341064453,11.617673873901367,18.102336883544922,15.709368705749512,12.554826736450195,24.62615203857422,12.635124206542969
1999-01-04 00:00:00-05:00,19.49211311340332,15.100245475769043,12.362861633300781,11.617673873901367,18.05882453918457,15.489526748657227,12.40269660949707,24.90920066833496,12.432705879211426
1999-01-05 00:00:00-05:00,19.820493698120117,15.214107513427734,12.296610832214355,11.72611141204834,18.341670989990234,15.809304237365723,12.706942558288574,25.546096801757812,12.582891464233398
1999-01-06 00:00:00-05:00,20.383441925048828,15.398048400878906,12.702363967895508,12.097878456115723,18.646268844604492,16.149078369140625,12.9306640625,26.300907135009766,12.71349048614502
1999-01-07 00:00:00-05:00,20.359983444213867,15.222867012023926,12.64439868927002,12.2837553024292,18.559247970581055,16.009172439575195,12.832220077514648,26.218345642089844,12.667777061462402
1999-01-08 00:00:00-05:00,20.383441925048828,15.161561012268066,12.702363967895508,12.361212730407715,18.787702560424805,16.129087448120117,13.270699501037598,26.32450294494629,12.739605903625488
1999-01-11 00:00:00-05:00,20.277891159057617,14.855000495910645,12.46223258972168,12.17533016204834,18.831218719482422,15.979186058044434,13.297550201416016,26.583972930908203,12.400054931640625
1999-01-12 00:00:00-05:00,19.750123977661133,14.741135597229004,12.271772384643555,11.834543228149414,18.75506591796875,15.789316177368164,12.957505226135254,25.864526748657227,12.406583786010742
1999-01-13 00:00:00-05:00,19.84394645690918,14.76740550994873,12.089603424072266,11.679643630981445,18.58102035522461,15.389589309692383,12.671146392822266,25.85272979736328,12.491475105285645
1999-01-14 00:00:00-05:00,19.398283004760742,14.487128257751465,11.857742309570312,11.38532543182373,18.428699493408203,15.319631576538086,12.456390380859375,25.4989070892334,12.282515525817871
1999-01-15 00:00:00-05:00,19.644575119018555,14.644786834716797,12.0399169921875,11.710625648498535,18.678905487060547,15.579463958740234,12.644301414489746,26.25373077392578,12.341290473937988
1999-01-19 00:00:00-05:00,19.632844924926758,14.478360176086426,12.0399169921875,11.648662567138672,19.21198272705078,15.54947566986084,12.411641120910645,27.161874771118164,12.759198188781738
1999-01-20 00:00:00-05:00,19.961233139038086,14.522161483764648,11.940555572509766,11.73386001586914,19.32076644897461,15.479527473449707,12.366899490356445,27.409563064575195,12.706954956054688
1999-01-21 00:00:00-05:00,19.773582458496094,14.303192138671875,12.0399169921875,11.524744033813477,18.646268844604492,15.34961986541748,12.313210487365723,26.70191192626953,12.661249160766602
1999-01-22 00:00:00-05:00,19.867406845092773,14.233121871948242,11.973675727844238,11.447290420532227,18.570119857788086,15.049821853637695,12.071599006652832,26.230146408081055,12.746135711669922
1999-01-25 00:00:00-05:00,19.820493698120117,14.198086738586426,11.957112312316895,11.540228843688965,18.72243309020996,15.299650192260742,12.313210487365723,26.69011688232422,12.26945972442627
1999-01-26 00:00:00-05:00,20.28961944580078,14.530923843383789,11.841184616088867,11.5479736328125,18.809459686279297,15.299650192260742,12.27741813659668,27.763378143310547,12.511064529418945
1999-01-27 00:00:00-05:00,20.266162872314453,14.723620414733887,11.62589168548584,11.400810241699219,18.624526977539062,15.419567108154297,12.178975105285645,27.173675537109375,12.321696281433105
1999-01-28 00:00:00-05:00,20.47726821899414,14.986376762390137,11.559648513793945,11.571208000183105,18.97264289855957,15.439549446105957,12.02685260772705,28.12899398803711,12.341290473937988
1999-01-29 00:00:00-05:00,20.618000030517578,15.02140998840332,11.559648513793945,11.819053649902344,18.97264289855957,15.539478302001953,12.08949089050293,28.541805267333984,12.321696281433105
1999-02-01 00:00:00-05:00,20.664915084838867,14.960105895996094,11.443717002868652,11.617673873901367,19.081438064575195,15.55947208404541,12.187931060791016,28.565385818481445,12.295576095581055
1999-02-02 00:00:00-05:00,20.406904220581055,15.082734107971191,11.460280418395996,11.493752479553223,18.798582077026367,15.439549446105957,12.196876525878906,28.081819534301758,12.132339477539062
1999-02-03 00:00:00-05:00,20.73529052734375,15.03018856048584,11.725260734558105,11.578949928283691,19.1575870513916,15.58945083618164,12.205822944641113,28.282344818115234,12.197627067565918
1999-02-04 00:00:00-05:00,20.618000030517578,14.960105895996094,11.791501998901367,11.30787467956543,19.016157150268555,15.609436988830566,12.563769340515137,27.31519317626953,12.014803886413574
1999-02-05 00:00:00-05:00,20.101966857910156,14.732377052307129,12.122724533081055,11.214930534362793,18.798582077026367,15.55947208404541,12.733792304992676,26.654727935791016,12.021330833435059
